Version,Context_Handle_Offset,Native_Context_Offset,Embedder_Data_Offset,Environment_Pointer_Offset,Execution_Async_Id_Offset
v20.0.0,280,31,47,271,1192
v20.1.0,280,31,47,271,1208
v20.2.0,280,31,47,271,1208
v20.3.0,280,31,47,271,1208
v20.3.1,280,31,47,271,1208
v20.4.0,280,31,47,271,1200
v20.5.0,280,31,47,271,1200
v20.5.1,280,31,47,271,1200
v20.6.0,280,31,47,271,1200
v20.6.1,280,31,47,271,1200
v20.7.0,280,31,47,271,1200
v20.8.0,280,31,47,271,1032
v20.8.1,280,31,47,271,1032
v20.9.0,280,31,47,271,1032
v20.10.0,280,31,47,271,1032
v20.11.0,280,31,47,271,1032
v20.11.1,280,31,47,271,1032
v20.12.0,280,31,47,271,1136
v20.12.1,280,31,47,271,1136
v20.12.2,280,31,47,271,1136
v20.13.0,280,31,47,271,1136
v20.13.1,280,31,47,271,1136
v20.14.0,280,31,47,271,1136
v20.15.0,280,31,47,271,1136
v20.15.1,280,31,47,271,1136
v20.16.0,280,31,47,271,1136
v20.17.0,280,31,47,271,1136
v20.18.0,280,31,47,271,1136
v20.18.1,280,31,47,271,1144
v20.18.2,280,31,47,271,1144
v20.18.3,280,31,47,271,1144
v20.19.0,280,31,47,271,1152
v20.19.1,280,31,47,271,1152
v20.19.2,280,31,47,271,1152
v20.19.3,280,31,47,271,1152
v20.19.4,280,31,47,271,1152
v21.0.0,288,31,47,271,1032
v21.1.0,288,31,47,271,1032
v21.2.0,288,31,47,271,1032
v21.3.0,288,31,47,271,1032
v21.4.0,288,31,47,271,1032
v21.5.0,288,31,47,271,1032
v21.6.0,288,31,47,271,1032
v21.6.1,288,31,47,271,1032
v21.6.2,288,31,47,271,1032
v21.7.0,288,31,47,271,1136
v21.7.1,288,31,47,271,1136
v21.7.2,288,31,47,271,1136
v21.7.3,288,31,47,271,1136
v22.0.0,288,31,47,271,1136
v22.1.0,288,31,47,271,1136
v22.2.0,288,31,47,271,1136
v22.3.0,288,31,47,271,1136
v22.4.0,288,31,47,271,1136
v22.4.1,288,31,47,271,1136
v22.5.0,288,31,47,271,1144
v22.5.1,288,31,47,271,1144
v22.6.0,288,31,47,271,1144
v22.7.0,288,31,47,271,1144
v22.8.0,288,31,47,271,1144
v22.9.0,288,31,47,271,1144
v22.10.0,288,31,47,271,1152
v22.11.0,288,31,47,271,1152
v22.12.0,288,31,47,271,1152
v22.13.0,288,31,47,271,1152
v22.13.1,288,31,47,271,1152
v22.14.0,288,31,47,271,1152
v22.15.0,288,31,47,271,1152
v22.15.1,288,31,47,271,1152
v22.16.0,288,31,47,271,1152
v22.17.0,288,31,47,271,1152
v22.17.1,288,31,47,271,1152
v22.18.0,288,31,47,271,1152
v23.0.0,288,31,47,271,1152
v23.1.0,288,31,47,271,1152
v23.2.0,288,31,47,271,1152
v23.3.0,288,31,47,271,1152
v23.4.0,288,31,47,271,1152
v23.5.0,288,31,47,271,1152
v23.6.0,288,31,47,271,1152
v23.6.1,288,31,47,271,1152
v23.7.0,288,31,47,271,1152
v23.8.0,288,31,47,271,1152
v23.9.0,288,31,47,271,1152
v23.10.0,288,31,47,271,1152
v23.11.0,288,31,47,271,1152
v23.11.1,288,31,47,271,1152
v24.0.0,336,31,47,271,1160
v24.0.1,336,31,47,271,1160
v24.0.2,336,31,47,271,1160
v24.1.0,336,31,47,271,1160
v24.2.0,336,31,47,271,1160
v24.3.0,336,31,47,271,1160
v24.4.0,336,31,47,271,1160
v24.4.1,336,31,47,271,1160
v24.5.0,336,31,47,271,1160
v24.6.0,336,31,47,271,1160
